Severity,Sunrise_Sunset,Traffic_Signal,State,count
1,Day,False,AL,101
1,Day,False,AR,9
1,Day,False,AZ,653
1,Day,False,CA,3481
1,Day,False,CO,212
1,Day,False,CT,17
1,Day,False,DC,19
1,Day,False,DE,6
1,Day,False,FL,1384
1,Day,False,GA,219
1,Day,False,IA,6
1,Day,False,IL,147
1,Day,False,IN,32
1,Day,False,KS,4
1,Day,False,KY,18
1,Day,False,LA,957
1,Day,False,MA,68
1,Day,False,MD,199
1,Day,False,MI,36
1,Day,False,MN,33
1,Day,False,MO,57
1,Day,False,MS,5
1,Day,False,NC,1192
1,Day,False,NE,19
1,Day,False,NH,4
1,Day,False,NJ,66
1,Day,False,NM,11
1,Day,False,NV,2
1,Day,False,NY,572
1,Day,False,OH,275
1,Day,False,OK,37
1,Day,False,OR,570
1,Day,False,PA,125
1,Day,False,RI,70
1,Day,False,SC,86
1,Day,False,TN,959
1,Day,False,TX,347
1,Day,False,UT,181
1,Day,False,VA,801
1,Day,False,VT,1
1,Day,False,WA,297
1,Day,False,WI,28
1,Day,False,WV,2
1,Day,True,AL,19
1,Day,True,AR,1
1,Day,True,AZ,4761
1,Day,True,CA,383
1,Day,True,CO,290
1,Day,True,DC,18
1,Day,True,DE,4
1,Day,True,FL,1310
1,Day,True,GA,116
1,Day,True,IL,65
1,Day,True,IN,12
1,Day,True,KY,19
1,Day,True,LA,213
1,Day,True,MA,1
1,Day,True,MD,70
1,Day,True,MI,9
1,Day,True,MN,3
1,Day,True,MO,5
1,Day,True,NC,236
1,Day,True,NE,12
1,Day,True,NJ,3
1,Day,True,NM,37
1,Day,True,NV,1
1,Day,True,NY,98
1,Day,True,OH,235
1,Day,True,OK,29
1,Day,True,OR,657
1,Day,True,PA,73
1,Day,True,RI,1
1,Day,True,SC,18
1,Day,True,TN,417
1,Day,True,TX,609
1,Day,True,UT,162
1,Day,True,VA,858
1,Day,True,WA,163
1,Day,True,WI,4
1,Night,False,AL,12
1,Night,False,AR,1
1,Night,False,AZ,235
1,Night,False,CA,1699
1,Night,False,CO,13
1,Night,False,CT,5
1,Night,False,DC,4
1,Night,False,DE,1
1,Night,False,FL,214
1,Night,False,GA,64
1,Night,False,IL,29
1,Night,False,IN,9
1,Night,False,KS,1
1,Night,False,KY,4
1,Night,False,LA,67
1,Night,False,MA,112
1,Night,False,MD,37
1,Night,False,ME,1
1,Night,False,MI,13
1,Night,False,MN,6
1,Night,False,MO,8
1,Night,False,NC,343
1,Night,False,NE,6
1,Night,False,NJ,24
1,Night,False,NV,1
1,Night,False,NY,59
1,Night,False,OH,18
1,Night,False,OK,6
1,Night,False,OR,24
1,Night,False,PA,19
1,Night,False,SC,17
1,Night,False,TN,69
1,Night,False,TX,66
1,Night,False,UT,36
1,Night,False,VA,64
1,Night,False,WA,48
1,Night,True,AL,1
1,Night,True,AZ,1074
1,Night,True,CA,250
1,Night,True,CO,4
1,Night,True,DC,2
1,Night,True,FL,113
1,Night,True,GA,9
1,Night,True,IL,26
1,Night,True,IN,7
1,Night,True,LA,28
1,Night,True,MA,3
1,Night,True,MD,2
1,Night,True,MI,3
1,Night,True,MO,1
1,Night,True,NC,54
1,Night,True,NE,1
1,Night,True,NJ,1
1,Night,True,NY,3
1,Night,True,OH,3
1,Night,True,OK,2
1,Night,True,OR,18
1,Night,True,PA,3
1,Night,True,SC,4
1,Night,True,TN,17
1,Night,True,TX,57
1,Night,True,UT,16
1,Night,True,VA,25
1,Night,True,WA,26
1,Night,True,WI,1
2,Day,False,AL,20835
2,Day,False,AR,1653
2,Day,False,AZ,27952
2,Day,False,CA,407055
2,Day,False,CO,13157
2,Day,False,CT,10879
2,Day,False,DC,1937
2,Day,False,DE,2759
2,Day,False,FL,122839
2,Day,False,GA,26586
2,Day,False,IA,3742
2,Day,False,ID,1837
2,Day,False,IL,30316
2,Day,False,IN,11244
2,Day,False,KS,3307
2,Day,False,KY,7041
2,Day,False,LA,43296
2,Day,False,MA,17431
2,Day,False,MD,19721
2,Day,False,ME,1598
2,Day,False,MI,34579
2,Day,False,MN,38592
2,Day,False,MO,10766
2,Day,False,MS,2610
2,Day,False,MT,999
2,Day,False,NC,73202
2,Day,False,ND,137
2,Day,False,NE,9139
2,Day,False,NH,4551
2,Day,False,NJ,29699
2,Day,False,NM,1699
2,Day,False,NV,4346
2,Day,False,NY,68839
2,Day,False,OH,24172
2,Day,False,OK,27542
2,Day,False,OR,54147
2,Day,False,PA,54130
2,Day,False,RI,4552
2,Day,False,SC,101436
2,Day,False,SD,62
2,Day,False,TN,37212
2,Day,False,TX,131019
2,Day,False,UT,24350
2,Day,False,VA,36669
2,Day,False,VT,378
2,Day,False,WA,23139
2,Day,False,WI,7595
2,Day,False,WV,1112
2,Day,False,WY,94
2,Day,True,AL,8018
2,Day,True,AR,49
2,Day,True,AZ,21827
2,Day,True,CA,43932
2,Day,True,CO,8959
2,Day,True,CT,495
2,Day,True,DC,981
2,Day,True,DE,1242
2,Day,True,FL,59161
2,Day,True,GA,7072
2,Day,True,IA,667
2,Day,True,ID,104
2,Day,True,IL,23761
2,Day,True,IN,4881
2,Day,True,KS,72
2,Day,True,KY,2903
2,Day,True,LA,4836
2,Day,True,MA,3910
2,Day,True,MD,5304
2,Day,True,ME,4
2,Day,True,MI,9514
2,Day,True,MN,3059
2,Day,True,MO,1741
2,Day,True,MS,952
2,Day,True,MT,21
2,Day,True,NC,52436
2,Day,True,ND,1
2,Day,True,NE,8009
2,Day,True,NH,320
2,Day,True,NJ,4568
2,Day,True,NM,1366
2,Day,True,NV,1617
2,Day,True,NY,16635
2,Day,True,OH,9117
2,Day,True,OK,18319
2,Day,True,OR,3847
2,Day,True,PA,17434
2,Day,True,RI,364
2,Day,True,SC,23786
2,Day,True,SD,7
2,Day,True,TN,7646
2,Day,True,TX,72894
2,Day,True,UT,5411
2,Day,True,VA,12533
2,Day,True,VT,11
2,Day,True,WA,7890
2,Day,True,WI,1093
2,Day,True,WV,47
2,Night,False,AL,9085
2,Night,False,AR,2022
2,Night,False,AZ,12249
2,Night,False,CA,244769
2,Night,False,CO,4051
2,Night,False,CT,5929
2,Night,False,DC,1264
2,Night,False,DE,1004
2,Night,False,FL,65177
2,Night,False,GA,12298
2,Night,False,IA,2438
2,Night,False,ID,1629
2,Night,False,IL,8952
2,Night,False,IN,5295
2,Night,False,KS,1490
2,Night,False,KY,2681
2,Night,False,LA,15131
2,Night,False,MA,5218
2,Night,False,MD,13385
2,Night,False,ME,508
2,Night,False,MI,17396
2,Night,False,MN,32827
2,Night,False,MO,5135
2,Night,False,MS,1126
2,Night,False,MT,2029
2,Night,False,NC,25274
2,Night,False,ND,306
2,Night,False,NE,2163
2,Night,False,NH,1785
2,Night,False,NJ,12191
2,Night,False,NM,511
2,Night,False,NV,1786
2,Night,False,NY,30383
2,Night,False,OH,9575
2,Night,False,OK,7858
2,Night,False,OR,35008
2,Night,False,PA,27879
2,Night,False,RI,1326
2,Night,False,SC,43041
2,Night,False,SD,77
2,Night,False,TN,14982
2,Night,False,TX,48071
2,Night,False,UT,12149
2,Night,False,VA,24946
2,Night,False,VT,136
2,Night,False,WA,11481
2,Night,False,WI,1872
2,Night,False,WV,1351
2,Night,False,WY,42
2,Night,True,AL,2295
2,Night,True,AR,101
2,Night,True,AZ,6332
2,Night,True,CA,25114
2,Night,True,CO,1793
2,Night,True,CT,135
2,Night,True,DC,415
2,Night,True,DE,362
2,Night,True,FL,22993
2,Night,True,GA,1799
2,Night,True,IA,319
2,Night,True,ID,145
2,Night,True,IL,6069
2,Night,True,IN,1562
2,Night,True,KS,34
2,Night,True,KY,745
2,Night,True,LA,1418
2,Night,True,MA,1156
2,Night,True,MD,1956
2,Night,True,ME,5
2,Night,True,MI,3639
2,Night,True,MN,1834
2,Night,True,MO,746
2,Night,True,MS,101
2,Night,True,MT,49
2,Night,True,NC,13305
2,Night,True,ND,2
2,Night,True,NE,1562
2,Night,True,NH,98
2,Night,True,NJ,1498
2,Night,True,NM,200
2,Night,True,NV,456
2,Night,True,NY,5046
2,Night,True,OH,3225
2,Night,True,OK,4380
2,Night,True,OR,1748
2,Night,True,PA,5668
2,Night,True,RI,65
2,Night,True,SC,6044
2,Night,True,SD,25
2,Night,True,TN,2365
2,Night,True,TX,21789
2,Night,True,UT,1919
2,Night,True,VA,4042
2,Night,True,VT,6
2,Night,True,WA,3610
2,Night,True,WI,257
2,Night,True,WV,45
2,Night,True,WY,1
3,Day,False,AL,11989
3,Day,False,AR,399
3,Day,False,AZ,8386
3,Day,False,CA,151719
3,Day,False,CO,15286
3,Day,False,CT,9214
3,Day,False,DC,730
3,Day,False,DE,454
3,Day,False,FL,57958
3,Day,False,GA,35431
3,Day,False,IA,4288
3,Day,False,ID,130
3,Day,False,IL,19376
3,Day,False,IN,8265
3,Day,False,KS,3195
3,Day,False,KY,7423
3,Day,False,LA,9943
3,Day,False,MA,11518
3,Day,False,MD,15755
3,Day,False,ME,99
3,Day,False,MI,23368
3,Day,False,MN,19777
3,Day,False,MO,13510
3,Day,False,MS,2397
3,Day,False,MT,97
3,Day,False,NC,17708
3,Day,False,ND,9
3,Day,False,NE,2880
3,Day,False,NH,1172
3,Day,False,NJ,12174
3,Day,False,NM,1795
3,Day,False,NV,2114
3,Day,False,NY,38994
3,Day,False,OH,14829
3,Day,False,OK,4045
3,Day,False,OR,5582
3,Day,False,PA,16766
3,Day,False,RI,4968
3,Day,False,SC,28286
3,Day,False,SD,6
3,Day,False,TN,17279
3,Day,False,TX,60895
3,Day,False,UT,7797
3,Day,False,VA,29587
3,Day,False,VT,125
3,Day,False,WA,15043
3,Day,False,WI,5578
3,Day,False,WV,351
3,Day,False,WY,74
3,Day,True,AL,295
3,Day,True,AR,9
3,Day,True,AZ,1598
3,Day,True,CA,5159
3,Day,True,CO,709
3,Day,True,CT,200
3,Day,True,DC,108
3,Day,True,DE,46
3,Day,True,FL,5855
3,Day,True,GA,1293
3,Day,True,IA,117
3,Day,True,ID,6
3,Day,True,IL,5017
3,Day,True,IN,508
3,Day,True,KS,178
3,Day,True,KY,331
3,Day,True,LA,629
3,Day,True,MA,656
3,Day,True,MD,735
3,Day,True,MI,907
3,Day,True,MN,700
3,Day,True,MO,1293
3,Day,True,MS,53
3,Day,True,NC,1112
3,Day,True,NE,156
3,Day,True,NH,61
3,Day,True,NJ,592
3,Day,True,NM,76
3,Day,True,NV,369
3,Day,True,NY,3732
3,Day,True,OH,590
3,Day,True,OK,828
3,Day,True,OR,320
3,Day,True,PA,1480
3,Day,True,RI,133
3,Day,True,SC,563
3,Day,True,TN,198
3,Day,True,TX,8977
3,Day,True,UT,1410
3,Day,True,VA,691
3,Day,True,VT,1
3,Day,True,WA,765
3,Day,True,WI,357
3,Day,True,WV,7
3,Day,True,WY,1
3,Night,False,AL,3504
3,Night,False,AR,122
3,Night,False,AZ,3673
3,Night,False,CA,77394
3,Night,False,CO,5377
3,Night,False,CT,3105
3,Night,False,DC,241
3,Night,False,DE,140
3,Night,False,FL,21507
3,Night,False,GA,13444
3,Night,False,IA,1429
3,Night,False,ID,73
3,Night,False,IL,12548
3,Night,False,IN,3125
3,Night,False,KS,952
3,Night,False,KY,2558
3,Night,False,LA,2616
3,Night,False,MA,3436
3,Night,False,MD,5783
3,Night,False,ME,26
3,Night,False,MI,10405
3,Night,False,MN,7866
3,Night,False,MO,4663
3,Night,False,MS,448
3,Night,False,MT,42
3,Night,False,NC,4650
3,Night,False,ND,3
3,Night,False,NE,694
3,Night,False,NH,351
3,Night,False,NJ,4165
3,Night,False,NM,345
3,Night,False,NV,764
3,Night,False,NY,16127
3,Night,False,OH,5222
3,Night,False,OK,1258
3,Night,False,OR,2461
3,Night,False,PA,5315
3,Night,False,RI,1292
3,Night,False,SC,7638
3,Night,False,SD,2
3,Night,False,TN,5413
3,Night,False,TX,23519
3,Night,False,UT,2814
3,Night,False,VA,10597
3,Night,False,VT,41
3,Night,False,WA,8724
3,Night,False,WI,1883
3,Night,False,WV,153
3,Night,False,WY,106
3,Night,True,AL,57
3,Night,True,AZ,566
3,Night,True,CA,2746
3,Night,True,CO,179
3,Night,True,CT,66
3,Night,True,DC,37
3,Night,True,DE,22
3,Night,True,FL,1859
3,Night,True,GA,439
3,Night,True,IA,20
3,Night,True,ID,4
3,Night,True,IL,1967
3,Night,True,IN,124
3,Night,True,KS,35
3,Night,True,KY,89
3,Night,True,LA,131
3,Night,True,MA,185
3,Night,True,MD,225
3,Night,True,MI,357
3,Night,True,MN,268
3,Night,True,MO,408
3,Night,True,MS,5
3,Night,True,MT,2
3,Night,True,NC,184
3,Night,True,NE,30
3,Night,True,NH,20
3,Night,True,NJ,177
3,Night,True,NM,12
3,Night,True,NV,101
3,Night,True,NY,1464
3,Night,True,OH,215
3,Night,True,OK,119
3,Night,True,OR,117
3,Night,True,PA,395
3,Night,True,RI,24
3,Night,True,SC,149
3,Night,True,TN,56
3,Night,True,TX,3233
3,Night,True,UT,381
3,Night,True,VA,256
3,Night,True,WA,366
3,Night,True,WI,115
3,Night,True,WV,3
4,Day,False,AL,525
4,Day,False,AR,389
4,Day,False,AZ,1736
4,Day,False,CA,4319
4,Day,False,CO,2266
4,Day,False,CT,1302
4,Day,False,DC,288
4,Day,False,DE,379
4,Day,False,FL,4776
4,Day,False,GA,4291
4,Day,False,IA,670
4,Day,False,ID,168
4,Day,False,IL,1721
4,Day,False,IN,1767
4,Day,False,KS,286
4,Day,False,KY,558
4,Day,False,LA,860
4,Day,False,MA,249
4,Day,False,MD,3435
4,Day,False,ME,62
4,Day,False,MI,3215
4,Day,False,MN,306
4,Day,False,MO,1001
4,Day,False,MS,218
4,Day,False,MT,77
4,Day,False,NC,2099
4,Day,False,ND,9
4,Day,False,NE,183
4,Day,False,NH,128
4,Day,False,NJ,1872
4,Day,False,NM,267
4,Day,False,NV,247
4,Day,False,NY,3824
4,Day,False,OH,3337
4,Day,False,OK,277
4,Day,False,OR,2209
4,Day,False,PA,3324
4,Day,False,RI,76
4,Day,False,SC,882
4,Day,False,SD,18
4,Day,False,TN,1084
4,Day,False,TX,2867
4,Day,False,UT,720
4,Day,False,VA,3613
4,Day,False,VT,47
4,Day,False,WA,1551
4,Day,False,WI,1592
4,Day,False,WV,302
4,Day,False,WY,132
4,Day,True,AL,21
4,Day,True,AR,5
4,Day,True,AZ,583
4,Day,True,CA,503
4,Day,True,CO,270
4,Day,True,CT,94
4,Day,True,DC,151
4,Day,True,DE,122
4,Day,True,FL,760
4,Day,True,GA,253
4,Day,True,IA,21
4,Day,True,ID,2
4,Day,True,IL,388
4,Day,True,IN,89
4,Day,True,KS,12
4,Day,True,KY,35
4,Day,True,LA,55
4,Day,True,MA,50
4,Day,True,MD,486
4,Day,True,ME,1
4,Day,True,MI,308
4,Day,True,MN,16
4,Day,True,MO,78
4,Day,True,MS,14
4,Day,True,MT,2
4,Day,True,NC,158
4,Day,True,NE,30
4,Day,True,NH,2
4,Day,True,NJ,445
4,Day,True,NM,16
4,Day,True,NV,43
4,Day,True,NY,671
4,Day,True,OH,199
4,Day,True,OK,6
4,Day,True,OR,150
4,Day,True,PA,314
4,Day,True,RI,5
4,Day,True,SC,40
4,Day,True,SD,3
4,Day,True,TN,26
4,Day,True,TX,175
4,Day,True,UT,167
4,Day,True,VA,369
4,Day,True,VT,1
4,Day,True,WA,298
4,Day,True,WI,86
4,Day,True,WV,6
4,Day,True,WY,1
4,Night,False,AL,257
4,Night,False,AR,342
4,Night,False,AZ,1209
4,Night,False,CA,3741
4,Night,False,CO,1326
4,Night,False,CT,999
4,Night,False,DC,186
4,Night,False,DE,308
4,Night,False,FL,3710
4,Night,False,GA,3620
4,Night,False,IA,473
4,Night,False,ID,152
4,Night,False,IL,1153
4,Night,False,IN,1137
4,Night,False,KS,167
4,Night,False,KY,297
4,Night,False,LA,376
4,Night,False,MA,112
4,Night,False,MD,2479
4,Night,False,ME,40
4,Night,False,MI,1895
4,Night,False,MN,190
4,Night,False,MO,701
4,Night,False,MS,126
4,Night,False,MT,39
4,Night,False,NC,1424
4,Night,False,ND,2
4,Night,False,NE,116
4,Night,False,NH,63
4,Night,False,NJ,1318
4,Night,False,NM,119
4,Night,False,NV,152
4,Night,False,NY,2590
4,Night,False,OH,2058
4,Night,False,OK,162
4,Night,False,OR,1416
4,Night,False,PA,2817
4,Night,False,RI,33
4,Night,False,SC,687
4,Night,False,SD,15
4,Night,False,TN,759
4,Night,False,TX,1804
4,Night,False,UT,422
4,Night,False,VA,2698
4,Night,False,VT,24
4,Night,False,WA,1127
4,Night,False,WI,1003
4,Night,False,WV,236
4,Night,False,WY,68
4,Night,True,AL,3
4,Night,True,AR,3
4,Night,True,AZ,269
4,Night,True,CA,313
4,Night,True,CO,140
4,Night,True,CT,80
4,Night,True,DC,77
4,Night,True,DE,59
4,Night,True,FL,486
4,Night,True,GA,182
4,Night,True,IA,14
4,Night,True,ID,1
4,Night,True,IL,176
4,Night,True,IN,52
4,Night,True,KS,5
4,Night,True,KY,11
4,Night,True,LA,4
4,Night,True,MA,10
4,Night,True,MD,382
4,Night,True,ME,2
4,Night,True,MI,128
4,Night,True,MN,18
4,Night,True,MO,40
4,Night,True,NC,76
4,Night,True,NE,6
4,Night,True,NH,4
4,Night,True,NJ,374
4,Night,True,NM,8
4,Night,True,NV,24
4,Night,True,NY,449
4,Night,True,OH,91
4,Night,True,OK,3
4,Night,True,OR,76
4,Night,True,PA,307
4,Night,True,RI,2
4,Night,True,SC,35
4,Night,True,SD,5
4,Night,True,TN,13
4,Night,True,TX,123
4,Night,True,UT,75
4,Night,True,VA,200
4,Night,True,WA,177
4,Night,True,WI,53
4,Night,True,WV,2
4,Night,True,WY,2
